id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218945,长茄,1186,蔬菜,,,1.5,2.0,1.75,鲁辽,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218944,广茄,1186,蔬菜,,,2.5,3.0,2.75,粤,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218943,线茄,1186,蔬菜,,,2.3,4.2,3.25,冀鲁,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218942,冬瓜,1186,蔬菜,,,1.4,1.6,1.5,辽桂,吊,斤,2021-12-14 00:00:00,,138,,admin,,,
1218941,冬瓜,1186,蔬菜,,,1.0,1.1,1.05,苏,地,斤,2021-12-14 00:00:00,,138,,admin,,,
1218940,毛冬瓜,1186,蔬菜,,,1.4,1.6,1.5,冀豫,长条\小个,斤,2021-12-14 00:00:00,,138,,admin,,,
1218939,架豆,1186,蔬菜,,,3.8,4.1,3.95,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218938,豆王,1186,蔬菜,,,2.7,4.0,3.35,云冀,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218937,扁豆,1186,蔬菜,,,2.8,4.0,3.4,冀,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218976,大白菜,1186,蔬菜,,,0.7,1.1,0.9,冀陕辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218975,娃娃菜,1186,蔬菜,,,0.9,1.2,1.05,冀豫,大,斤,2021-12-14 00:00:00,,138,,admin,,,
1218974,小白菜,1186,蔬菜,,,1.2,1.5,1.35,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218973,圆白菜,1186,蔬菜,,,1.5,2.1,1.8,冀,暄,斤,2021-12-14 00:00:00,,138,,admin,,,
1218972,圆白菜,1186,蔬菜,,,1.1,1.2,1.15,鄂,扁\露地,斤,2021-12-14 00:00:00,,138,,admin,,,
1218971,紫甘蓝,1186,蔬菜,,,1.4,1.5,1.45,宁云,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218970,芹菜,1186,蔬菜,,,1.3,1.7,1.5,鲁,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218969,西芹,1186,蔬菜,,,3.8,4.5,4.15,辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218968,菠菜,1186,蔬菜,,,1.8,2.3,2.05,蒙,精选,斤,2021-12-14 00:00:00,,138,,admin,,,
1218967,莴笋,1186,蔬菜,,,1.0,1.8,1.4,冀,净,斤,2021-12-14 00:00:00,,138,,admin,,,
1218966,团生菜,1186,蔬菜,,,2.0,3.0,2.5,冀,毛筐\净,斤,2021-12-14 00:00:00,,138,,admin,,,
1218965,散叶生菜,1186,蔬菜,,,2.4,2.7,2.55,京辽,毛\净,斤,2021-12-14 00:00:00,,138,,admin,,,
1218964,罗马生菜,1186,蔬菜,,,2.0,2.1,2.05,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
