ClassFication,Name,low-price,mean-price,high-price,release-time
水果,脆皮柿子,2.8,2.9,3.0,2021-12-13 00:00:00

水果,甘蔗,1.3,1.4,1.5,2021-12-13 00:00:00
水果,柠檬,4.0,4.5,5.0,2021-12-13 00:00:00
水果,石榴,3.0,5.0,7.0,2021-12-13 00:00:00
水果,山楂,2.5,3.0,3.5,2021-12-13 00:00:00
水果,姑娘果（灯笼果）,7.0,9.5,12.0,2021-12-13 00:00:00
水果,鸭梨,1.1,1.3,1.5,2021-12-13 00:00:00
水果,雪花梨,1.2,1.4,1.6,2021-12-13 00:00:00
水果,皇冠梨,2.2,2.5,2.8,2021-12-13 00:00:00
水果,南果梨,1.2,2.35,3.5,2021-12-13 00:00:00
水果,丰水梨,3.4,3.6,3.8,2021-12-13 00:00:00
水果,广梨,1.8,2.5,3.2,2021-12-13 00:00:00
水果,酥梨,1.6,1.8,2.0,2021-12-13 00:00:00
水果,库尔勒香梨,3.5,3.9,4.3,2021-12-13 00:00:00
水果,红啤梨,3.5,4.0,4.5,2021-12-13 00:00:00
水果,蜜梨,2.0,2.25,2.5,2021-12-13 00:00:00
水果,京白梨,1.6,1.8,2.0,2021-12-13 00:00:00
水果,贵妃梨,1.2,1.35,1.5,2021-12-13 00:00:00
水果,蜜桔,1.4,1.8,2.2,2021-12-13 00:00:00
水果,小叶桔,1.4,1.95,2.5,2021-12-13 00:00:00
水果,南丰蜜桔,2.0,2.5,3.0,2021-12-13 00:00:00

水果,砂糖橘,2.0,2.8,3.6,2021-12-13 00:00:00
水果,耙耙柑（丑橘）,3.5,4.75,6.0,2021-12-13 00:00:00
水果,爱媛,3.0,4.0,5.0,2021-12-13 00:00:00
水果,赣南脐橙Ф65-Ф95,2.4,3.2,4.0,2021-12-13 00:00:00
水果,鄂、湘、川脐橙,2.5,2.85,3.2,2021-12-13 00:00:00
水果,沃柑,4.0,4.5,5.0,2021-12-13 00:00:00
水果,贡柑,3.0,3.5,4.0,2021-12-13 00:00:00
水果,冰糖橙,1.3,2.4,3.5,2021-12-13 00:00:00
水果,芦柑,2.5,2.75,3.0,2021-12-13 00:00:00
水果,金桔,2.7,4.85,7.0,2021-12-13 00:00:00
水果,蜜柚,1.6,2.1,2.6,2021-12-13 00:00:00
水果,蜜柚,1.5,1.75,2.0,2021-12-13 00:00:00
水果,葡萄柚,3.5,4.0,4.5,2021-12-13 00:00:00
水果,猕猴桃,7.0,7.75,8.5,2021-12-13 00:00:00
水果,猕猴桃,2.5,3.5,4.5,2021-12-13 00:00:00
水果,猕猴桃,2.0,2.4,2.8,2021-12-13 00:00:00
水果,猕猴桃,1.8,2.15,2.5,2021-12-13 00:00:00
水果,无籽小号-大号,4.6,4.7,4.8,2021-12-13 00:00:00
水果,麒麟、甜蜜蜜,3.2,3.85,4.5,2021-12-13 00:00:00
水果,黑美人,2.6,2.7,2.8,2021-12-13 00:00:00

